# 한국 공휴일 2026-2027
# Format: YYYY-MM-DD|이름
# 양력 고정 공휴일: 정확. 음력 기반(설/추석/부처님) 및 대체공휴일: best-effort, 검증 필요.
# 정부 임시공휴일 추가 시 이 파일 업데이트.

# ── 2026 ──
2026-01-01|신정
2026-02-16|설날 연휴
2026-02-17|설날
2026-02-18|설날 연휴
2026-03-01|삼일절
2026-03-02|삼일절 대체공휴일
2026-05-05|어린이날
2026-05-24|부처님오신날
2026-05-25|부처님오신날 대체공휴일
2026-06-06|현충일
2026-08-15|광복절
2026-09-24|추석 연휴
2026-09-25|추석
2026-09-26|추석 연휴
2026-10-03|개천절
2026-10-09|한글날
2026-12-25|크리스마스

# ── 2027 ──
2027-01-01|신정
2027-02-05|설날 연휴
2027-02-06|설날
2027-02-07|설날 연휴
2027-02-08|설날 대체공휴일
2027-03-01|삼일절
2027-05-05|어린이날
2027-05-13|부처님오신날
2027-06-06|현충일
2027-06-07|현충일 대체공휴일
2027-08-15|광복절
2027-08-16|광복절 대체공휴일
2027-10-03|개천절
2027-10-04|개천절 대체공휴일
2027-10-09|한글날
2027-12-25|크리스마스
